vehicle,generation,ecu,role,diag_addr,did,service,service_type,job_arg,description_en,description_de,n_result_fields,n_arg_fields,single_result_type,single_result_unit,sources,only_in_2012_sgbd
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6512,2E,write,_MESSBOTSCHAFTEN,Switch measurement messages on / off,Messbotschaften ein/ausschalten,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6516,22,read,_ST_SYM_MODUS,Status of the balancing,Status der Symmetrierung,1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6519,2E,write,_CSC_STANDBY,Put CSCs in standby mode,CSCs in Standby-Mode setzen,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x651B,2E,write,_ANFORDERUNG_SCHUETZE_SCHLIESSEN,Close contactor,Schütze schließen,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x651C,2E,write,_STEUERN_PRUEFSTANDSMODUS,"Open the operating limits of SOC, current, voltage and temperature up to the safety limits and deactivate the ISO monitor","Betriebsgrenzen von SOC, Strom, Spannung und Temperatur bis auf die Sicherheitsgrenzen öffnen und ISO-Wächter deaktivieren",0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x651D,22,read,_UEBERLAST_ZAHELER,Diagnostic job to read out the overload failures that have occurred for warranty returns,Diagnosejob zum Auslesen der aufgetretenen Überlastausfälle für Gewährleistungs-Rückläufer,8,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x651F,2E,write,_NV_DATA_RESET,Reset NV data of the SME to the initial state,NV-Daten der SME auf Initialzustand zurücksetzen,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6525,2E,write,_STEUERN_UEBERNAHME_KAPATEST_NV,Diagnostic switch to control the transfer of the result of a capacity test to the SoH_C estimator,Diagnoseschalter um Übernahme vom Ergebnis eines Kapazitätstests in den SoH_C-Schätzer zu steuern,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6526,22,read,_STATUS_UEBERNAHME_KAPATEST_NV,"Current setting of the transfer of the results of a capacity test to the SoH_C estimator (0: no transfer, 1: transfer (standard))","Aktuelle Einstellung der Ergebnisübertragung eines Kapazitätstests in den SoH_C-Schätzer (0: keine Übernahme, 1: Übernahme (standard))",1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6527,2E,write,_ADRESSBEREICH,'' This control job can be used to activate a switchover of the SME to one of 16 predefined CAN address areas in conjunction with one of 16 predefined diagnostic addresses that deviate from the standard SME addresses.,"'Mit diesem Steuernjob kann eine Umschaltung der SME auf einen von 16 vordefinierten CAN-Adressbereichen in Verbindung mit einer von 16 vordefinierten Diagnoseadressen aktiviert werden, die von den standardmäßigen SME-Adressen abweichen.",0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6528,2E,write,_DEM_TEST,Activate fault memory test,Fehlerspeicher Test aktivieren,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6529,2E,write,_DEM_TEST_EINTRAG,Set fault memory entry in test mode,Fehlerspeichereintrag im Test Modus setzen,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD5E,31,routine,ISOLATIONSWIDERSTAND_KOMMUNIKATION,JOB CANCELED Activation of the BN signal AVL_ISRE on the vehicle bus.,JOB ENTFALLEN  Aktivieren des BN-Signal AVL_ISRE auf dem Fahrzeugbus.,1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD61,31,routine,ISOLATION,Isolation test result,Ergebnis Isolationstest,2,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD66,31,routine,KAPAZITAET_BESTIMMUNG,Determination of the capacity,Bestimmung der Kapazität,2,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD6A,31,routine,HEIZUNG,Activation and reading of the heating in the HV battery,Aktivieren und Auslesen der Heizung in HV-Batterie,1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD6B,31,routine,SYMMETRIERUNG,Activate balancing,Symmetrierung ansteueren,1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD6C,31,routine,ZELLSPANNUNG_UNPLAUSIBEL_LESEN,"Returns the module number of the CSCs in which an implausible voltage value was detected (linked to DTC). The return value is a component vector length 8) with the assignment 0 = no error, 1 = error detected.","Liefert die Modulnummer der CSCs zurück, in der ein unplausibler Spannungswert detektiert wurde (verknüpft mit DTC). Rückgabewert ist ein Komponentenvektor Länge 8) mit der Belegung 0 = kein Fehler, 1 = Fehler erkannt.",1,1,unsigned char,0/1,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD6D,31,routine,MODULTEMPERATUREN_LESEN,Currently measured temperature from the selected module,Aktuell gemessene Temperatur vom ausgewählten Modul,1,1,signed int,°C,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD6E,31,routine,ZELLSPANNUNG_LESEN,Cell whose voltage is to be determined,Zelle deren Spannung ermittelt werden soll,1,1,unsigned int,V,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD6F,31,routine,HIS_TEMP_MOD_LESEN,Time (minutes with HVON and 100ms with NO_OP) in various temperature classes of the maximum and minimum cell temperature of individual modules (storage in operation) and the mean cell temperature of the individual modules (storage out of operation). ATTENTION: The correct unit of the output value STAT_HIS_TEMP_NO_OP_MOD_MEAN_X_WERT is [100ms] and not [min] as entered in the UNIT box. The counter can start again from zero around 13.2 years from the beginning of the logging process due to integer overflow.,"Zeit (Minuten bei HVON und 100ms bei NO_OP) in verschiedenen Temperaturklassen der maximalen und minimalen Zelltemperatur von einzelnen Modulen (Speicher in Betrieb) und der mittleren Zelltemperatur der einzelnen Module (Speicher außer Betrieb). ACHTUNG: Die korrekte Einheit des Ausgangwerts STAT_HIS_TEMP_NO_OP_MOD_MEAN_X_WERT ist [100ms] und nicht [min] wie im Kasten EINHEIT eingetragen ist.  Der Counter kann ab ca. 13,2 Jahre von Logging-Anfgang aufgrund von Integer-overflow wieder von null anfangen.",26,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD70,31,routine,HIS_ERR_LIM_SPANNUNG_MOD_LESEN,"Output of the dwell time in voltage fault limit classes of individual modules. At temperatures <-10 ° C, the voltage error limit changes depending on the temperature. (Samsung)",Ausgabe der Verweildauer in Spannungsfehlergrenzklassen von einzelnen Modulen. Bei Temperaturen < -10°C verändert sich die Spannungsfehlergrenze temperaturabhängig. (Samsung),6,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD71,31,routine,HIS_SPANNUNG_MOD_LESEN,Time in minutes in different voltage classes of individual modules,Zeit in Minuten in verschiedenen Spannungsklassen von einzelnen Modulen,6,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD73,31,routine,HEIZUNG_FUNKTION,Execution of the functional diagnosis heating,Ausführen der funktionale Diagnose Heizung,1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD74,31,routine,HIS_ZELL_DSOCS_LESEN,"Reading out the totaled Delta_SOC values of all individual cells over X_end driving cycles (X_end = 30, can be calibrated).","Auslesen der aufsummierten Delta_SOC-Werte alle Einzelzellen über X_end Fahrzyklen(X_end=30, kalibrierbar).",2,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD75,31,routine,SYMMETRIERUNG_FIXSPG,Triggering the voltage-controlled balancing by means of the target voltage specification,Anstoßen der spannungsgesteuerte Symmetrierung per Zielspannungsvorgabe,1,1,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD76,31,routine,CSC_IDS_LESEN,Enter the CSC number to read out the DMC from CSC x,Eingabe der CSC-Nummer zum Auslesen des DMC  von CSC x,1,1,string[28],TEXT,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD77,31,routine,STEUERN_MIN_KAPAZITAET_MOD_LESEN,"Reading out the current minimum capacity of module x, based on the capacity quotient (capacity quotient = (C_akt / C_nenn (new)) * 100 (100% = corresponds to nominal capacity; capacity quotient> 100% corresponds to cell capacity> nominal capacity, capacity quotient <100% corresponds to cell capacity <nominal capacity) .","Auslesen der aktuellen minimalen Kapazität des Modul x, bezogen auf Kapazitätsquotient (Kapazitätsquotient  = (C_akt /C_nenn(neu)) *100   (100% = entspricht Nennkapazitaet; Kapazitaetsquotient > 100%  entspricht Zellkapazitaet > Nennkapazitaet, Kapazitaetsquotient < 100%  entspricht Zellkapazitaet < Nennkapazitaet).",1,1,unsigned char,%,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD78,31,routine,MAX_INNENWIDERSTANDSFAKTOR_MOD_LESEN,"Reading out the current maximum internal resistance factor of module x, (factor = 0-5 with two decimal places; factor &lt;1 corresponds to a reduced cell internal resistance compared to the average, factor&gt; 1 corresponds to an increased cell resistance compared to the average)","Auslesen des aktuellen maximalen Innenwiderstandsfaktors des Modul x, (Faktor= 0-5 mit zwei Nachkommastellen; Faktor < 1 entspricht reduziertem Zellinnenwiderstand gegenüber den Durschnitt, Faktor >1  entspricht einem erhöhten Zellwiderstand gegenüber dem Durchschnitt )",1,1,unsigned int,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD79,31,routine,ZELLPACK_STATUS_LESEN,"Reading out the aging status (e.g. defect, etc.) of module x",Auslesen des Alterungsstatus (z.B Defekt usw.) des Modul x,1,1,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD7A,31,routine,SBOX_ANZAHL_TAUSCH_LESEN,Incrementing and reading of the SBOX replacement counter. The counter will be incremented every time the SBOX is replaced by a diagnostic job.,Inkrementieren und Auslesen des SBOX -Tausch Zählers. Der Zähler wird bei jedem Tausch der SBOX per Diagnosejob inkrementiert werden.,1,1,unsigned char,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD7C,31,routine,HIS_SPANNUNG_NOP_MOD_LESEN,Time in 100ms in different voltage classes of individual modules while the memory is not in operation ATTENTION: The correct unit of the output value STAT_HIS_SPANNUNG_NOP_MOD_X_WERT is [100ms] and not [min] as entered in the UNIT box. The counter can start again from zero around 13.2 years from the beginning of the logging process due to integer overflow.,"Zeit in 100ms in verschiedenen Spannungsklassen von einzelnen Modulen während Speicher nicht im Betrieb ACHTUNG: Die korrekte Einheit des Ausgangwerts STAT_HIS_SPANNUNG_NOP_MOD_X_WERT ist [100ms] und nicht [min] wie im Kasten EINHEIT eingetragen ist. Der Counter kann ab ca. 13,2 Jahre von Logging-Anfgang aufgrund von Integer-overflow wieder von null anfangen.",6,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xAD7D,31,routine,ZELLPACK_DMC_LESEN,This job reads out the DMC from cell pack x.,Dieser Job liest den DMC von Zellpack x aus.,1,1,string[28],TEXT,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4C5,22,read,RB_SOC_REKALIBRIERUNG,Reading out the battery status BEFORE and AFTER the last 5 SOC recalibrations,Auslesen des Betteriezustandes VOR und NACH der letzten 5 SOC Rekalibrierungen,125,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4C6,22,read,RB_SOH_ADAPTION,This job is no longer requested and is no longer supported (all returns deliver '0'),Dieser Job ist nicht mehr angefordert und wird nicht mehr unterstützt (Alle Rückgaben liefern '0'),120,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4C7,22,read,SOC_GUETE,"Reading out the current SOC quality value based on the SOC estimate (1 == best quality,> 30 == worst quality)","Auslesen des aktuellen SOC Gütewertes auf Basis der SOC Schätzung (1 == beste Güte,  >30 == schlechteste Güte )",1,0,unsigned char,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4C8,22,read,HIS_SOC_GUETE,Reading out the length of stay in 5 classes of the SOC quality value based on the SOC estimate,Auslesen der Aufenthaltsdauer in 5 Klassen des SOC Gütewertes auf Basis der SOC Schätzung,5,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4C9,22,read,ANZAHL_OCV_SOC_REKAL,Number of OCV-SOC recalibrations,Anzahl der OCV-SOC Rekalibrierungen,1,0,unsigned long,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4CA,22,read,ANZAHL_LADEENDE_REKAL,Number of SoC recalibrations at the end of charging,Anzahl der SoC Rekalibrierungen am Ladeende,1,0,unsigned long,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4CB,22,read,RB_SOC_VOLLADEENDE,Reading out different SOCs of the last 5 full charges,Auslesen verschiedener SOCs der letzten 5 Vollladevorgänge,30,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD4CC,22,read,KUEHLDAUER_HVB,Job is not relevant for SME_03 // Replacement is STATUS_KUEHLDAUER Cooling time of the HV battery,Job ist nicht für SME_03 relevant // Ersatz ist STATUS_KUEHLDAUER  Kühldauer der HV-Batterie,5,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD67F,22,read,LADUNGSVERLUST_ZELLE,Ring memory for the loss of charge in the cells,Ringspeicher zum Ladungsverlust der Zellen,12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD681,22,read,STATUS_MIN_KAPAZITAET_MOD,"Reading of the current minimum capacity of ALL modules, based on the capacity quotient.","Auslesen der aktuellen minimalen Kapazität ALLER Module, bezogen auf Kapazitätsquotient.",12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6C7,22,read,RB_ISO_MESS_TRG,Return of the R_iso including quality of the last 5 follow-up measurements,Rückgabe der R_iso incl. Qual. der letzten 5 Nachlaufmessungen,10,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6C8,22,read,RB_ISO_MESS_STD_IO_NIO,Return of the last 10 events of the R_iso standard measurement when the error threshold is undershot / exceeded,Rückgabe der letzten 10 Ereignisse der R_iso Standard Messung bei Fehlerschwellenunter-/-überschreitung,30,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6C9,22,read,RB_ISO_MESS_TRG_IO_NIO,Return of the last 10 events of the triggered follow-up ISO measurement when the error threshold is undershot / exceeded,Rückgabe der letzten 10 Ereignisse der getriggerten Nachlauf-ISO-Messung bei Fehlerschwellenunter-/-überschreitung,30,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6CA,22,read,ISODIAG_INPUT_ISTWERTE,Return of input signals of the R_ISO calculation formula,Rückgabe von Inputsignalen der R_ISO Berechnungsformel,10,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6CB,22,read,ISO_ERR_STD_FZ1_2,Return of input signals and result values of the standard ISO measurement at error time 1 and 2,Rückgabe von Inputsignalen und Ergebniswerten der Standard-ISO-Messung zu Fehlerzeitpunkt 1 und 2,33,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6CC,22,read,RB_SOH_KAPATEST,Return of the results of the last 3 HVS offboard capacity tests (ring memory),Rückgabe der Ergebnisse der letzten 3 HVS-Offboard-Kapatests (Ringspeicher),24,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6CD,22,read,REKU_VOLTAGE_LIFT,Return of the duration and frequency in which the increased recuperation is made available when the HVS is almost full,"Rückgabe der Dauer und Häufigkeit, in der erhöhte Rekuperationsleistung zur Verfügung gestellt wird bei fast vollem HVS",2,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6CE,22,read,RB_ALTERUNG_KAPA,Return of the results of the last 5 SoH_C adaptations including capacity tests (ring memory),Rückgabe der Ergebnisse der letzten 5 SoH_C-Adaptionen incl. Kapatests  (Ringspeicher),113,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6CF,22,read,CSC_TEMPERATUREN,"Return of the current temperature measured values of all CSC sensors (max 3 * 12, without HW-RL)","Rückgabe der aktuellen Temperaturmesswerte aller CSC-Sensoren (max 3*12, ohne HW-RL)",24,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xD6D1,22,read,ISO_ERR_TRG_FZ1_2,Return of input signals and result values of the triggered follow-up ISO measurement at error time 1 and 2,Rückgabe von Inputsignalen und Ergebniswerten der getriggerte Nachlauf-ISO-Messung zu Fehlerzeitpunkt 1 und 2,33,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDD60,22,read,SCHUETZ_SCHALTER,"Contactor switch status: closed, open, welded contacts or not defined. For results see table TAB_SCHUETZ_SCHALTER","Status der Schützschalter: geschlossen, offen, verschweißte Kontakte oder nicht definiert. Ergebnisse siehe Tabelle TAB_SCHUETZ_SCHALTER",1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDD61,2E;22,read/write,SCHUETZ_FREIGABE,Writes or reads the bit to enable or disable the contactor switch. Job is clamp-safe,Schreibt bzw. liest das Bit zur Freigabe oder Sperrung der Schützschalter. Job ist Klemmensicher,1,1,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDD63,22,read,SCHUETZSCHALTUNGEN_ANZAHL,Number of switchings of the contactor switch (currentless and under load),Anzahl der Schaltungen der Schützschalter (stromlos und unter Last),2,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDD64,22,read,HVIL,HVIL test result,Ergebnis HVIL-Prüfung,1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDD66,22,read,HV_SPANNUNG,"Intermediate circuit voltage to the HV connection plug, depending on the contactor status","Zwischenkreisspannung zum HV-Anschlussstecker, abhängig vom Schützzustand",1,0,unsigned int,V,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDD67,22,read,ANZAHL_KUEHLANFORDERUNG_DRINGEND,Number of consecutive wake cycles with urgent cooling requirements (service life max. Value),Anzahl aufeinanderfolgenender Wachzyklen mit dringender Kühlanforderung (Lebensdauer-Max.wert),1,0,unsigned char,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
