vehicle,ecu,did,service,job_arg,direction,routine_phase,idx,byte_offset,name,type,unit,mul,div,add,mask,min,max,value_table,description_en,description_de
BMW i3 / i3s (I01),SME,0x6519,2E,_CSC_STANDBY,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = no standby, 1 = standby","0=kein Standby, 1=Standby"
BMW i3 / i3s (I01),SME,0x651B,2E,_ANFORDERUNG_SCHUETZE_SCHLIESSEN,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x651B,2E,_ANFORDERUNG_SCHUETZE_SCHLIESSEN,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = regulated / no request, 1 = contactors close","0=geregelt/keine Anforderung, 1=Schütze schließen"
BMW i3 / i3s (I01),SME,0x651C,2E,_STEUERN_PRUEFSTANDSMODUS,arg,,0,0,PASSWORT,unsigned long,HEX,,,,,,,,Password for executing the diagnostic job,Passwort zur Ausführung des Diagnosejobs
BMW i3 / i3s (I01),SME,0x651C,2E,_STEUERN_PRUEFSTANDSMODUS,arg,,1,4,AKTION,unsigned char,0/1,,,,,,,,"0 = reset the operating limits and ISO monitor to the original value, 1 = open the operating limits up to the safety limits and deactivate the ISO monitor","0=Betriebsgrenzen und ISO-Wächter auf dem Originalwert zurückstellen, 1=Betriebsgrenzen bis auf Sicherheitsgrenzen öffnen und ISO-Wächter deaktivieren"
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,0,0,STAT_OVERLOAD_K1_WERT,unsigned int,,1.0,1.0,0.0,,,,,Overload counter contactor K1,Überlastzähler Schütz K1
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,1,2,STAT_OVERLOAD_K2_WERT,unsigned int,,1.0,1.0,0.0,,,,,Overload counter contactor K2,Überlastzähler Schütz K2
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,2,4,STAT_OVERLOAD_K3_WERT,unsigned int,,1.0,1.0,0.0,,,,,Overload counter contactor K3,Überlastzähler Schütz K3
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,3,6,STAT_OVERLOAD_COOLING_VALVE_WERT,unsigned int,,1.0,1.0,0.0,,,,,Overload counter cooling valve,Überlastzähler Kühlventil
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,4,8,STAT_OVERLOAD_CSC_SUPPLY_WERT,unsigned int,,1.0,1.0,0.0,,,,,Overload counter CSC supply,Überlastzähler CSC Versorgung
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,5,10,STAT_OVERLOAD_ISENS_WERT,unsigned int,,1.0,1.0,0.0,,,,,Overload counter current sensor,Überlastzähler Stromsensor
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,6,12,STAT_OVERLOAD_COOLING_PUMP_WERT,unsigned int,,1.0,1.0,0.0,,,,,Coolant pump overload counter,Überlastzähler Kühlmittelpumpe
BMW i3 / i3s (I01),SME,0x651D,22,_UEBERLAST_ZAHELER,result,,7,14,STAT_OVERLOAD_HEATING_WERT,unsigned int,,1.0,1.0,0.0,,,,,Overload counter heating,Überlastzähler Heizung
BMW i3 / i3s (I01),SME,0x651F,2E,_NV_DATA_RESET,arg,,0,0,PASSWORT,unsigned long,HEX,,,,,,,,Reset password for NV data of the SME to the initial state,Passwort für NV-Daten der SME auf Initialzustand zurücksetzen
BMW i3 / i3s (I01),SME,0x651F,2E,_NV_DATA_RESET,arg,,1,4,AKTION,unsigned char,0-n,,,,,,,TAB_NV_DATA_RESET,0 = do not reset anything 1 = reset all ZO variables,0 = nichts rücksetzen 1 = alle NV-Größen rücksetzen
BMW i3 / i3s (I01),SME,0x6525,2E,_STEUERN_UEBERNAHME_KAPATEST_NV,arg,,0,0,PASSWORT,unsigned long,HEX,,,,,,,,Password for transferring the result of a capacity test to the SoH_C estimator,Passwort zur Übernahme vom Ergebnis eines Kapazitätstests in den SoH_C-Schätzer
BMW i3 / i3s (I01),SME,0x6525,2E,_STEUERN_UEBERNAHME_KAPATEST_NV,arg,,1,4,AKTION,unsigned char,0-n,,,,,,,TAB_KAPATEST,"Transfer of results of the capacity test to SoH_C estimator (0: no transfer, 1: transfer)","Ergebnisübertragung des Kapazitätstests in SoH_C-Schätzer (0: keine Übernahme, 1: Übernahme)"
BMW i3 / i3s (I01),SME,0x6526,22,_STATUS_UEBERNAHME_KAPATEST_NV,result,,0,0,STAT_UEBERNAHME_KAPATEST_NV,unsigned char,0-n,,,,,,,TAB_KAPATEST,"Current setting of the transfer of the results of a capacity test to the SoH_C estimator (0: no transfer, 1: transfer (standard))","Aktuelle Einstellung der Ergebnisübertragung eines Kapazitätstests in den SoH_C-Schätzer (0: keine Übernahme, 1: Übernahme (standard))"
BMW i3 / i3s (I01),SME,0x6527,2E,_ADRESSBEREICH,arg,,0,0,PASSWORT,unsigned long,HEX,,,,,,,,Password for changing the address range,Passwort zum Ändern des Adressbereiches
BMW i3 / i3s (I01),SME,0x6527,2E,_ADRESSBEREICH,arg,,1,4,ADRESSBEREICH_WERT,unsigned char,HEX,,,,,,,,Address range number,Adressbereichs-Nummer
BMW i3 / i3s (I01),SME,0x6528,2E,_DEM_TEST,arg,,0,0,PASSWORT,unsigned long,HEX,,,,,,,,Password for executing the job,Passwort für Ausführung des Jobs
BMW i3 / i3s (I01),SME,0x6528,2E,_DEM_TEST,arg,,1,4,AKTION,unsigned char,0-n,,,,,,,TAB_DEM_TEST,Activate / deactivate,Aktivieren/Deaktivieren
BMW i3 / i3s (I01),SME,0x6529,2E,_DEM_TEST_EINTRAG,arg,,0,0,FEHLER_ID,unsigned long,HEX,,,,,,,,ID of the error memory entry,ID des Fehlerspeichereintrags
BMW i3 / i3s (I01),SME,0x6529,2E,_DEM_TEST_EINTRAG,arg,,1,4,FEHLERSTATUS,unsigned char,0-n,,,,,,,TAB_FEHLERSTATUS_TEST,"Error status. Passed, failed","Fehlerstatus. Passed, Failed"
BMW i3 / i3s (I01),SME,0xAD5E,31,ISOLATIONSWIDERSTAND_KOMMUNIKATION,result,results,0,,STAT_KOMMUNIKATION_AVL_ISRE,unsigned char,0-n,,,,,,,,"Current send status AVL_ISRE (0 = signal is not sent, 1 = signal is sent on the vehicle bus)","Aktueller Sendestatus AVL_ISRE (0 = Signal wird nicht gesendet, 1 = Signal wird auf Fahrzeugbus gesendet)"
BMW i3 / i3s (I01),SME,0xAD61,31,ISOLATION,result,results,0,,STAT_MESSUNG_ERFOLGREICH,unsigned char,0-n,1.0,1.0,0.0,,,,TAB_ISOLATION_ERFOLGREICH,Current state of insulation measurement,aktueller Zustand Isolationsmessung
BMW i3 / i3s (I01),SME,0xAD61,31,ISOLATION,result,results,1,,STAT_MESSUNG_ISOLATIONSFEHLER,unsigned char,0-n,1.0,1.0,0.0,,,,TAB_ISOLATION_ISOLATIONSFEHLER,current state of the insulation fault,aktueller Zustand des Isolationsfehlers
BMW i3 / i3s (I01),SME,0xAD66,31,KAPAZITAET_BESTIMMUNG,result,results,0,,STAT_KAPAZITAET_WERT,unsigned char,%,1.0,1.0,0.0,,,,,Estimated capacity value in% (value range 0-100%) based on nominal capacity,Kapazitätsschätzwert in % (Wertebereich 0-100%) bezogen auf Nennkapazität
BMW i3 / i3s (I01),SME,0xAD66,31,KAPAZITAET_BESTIMMUNG,result,results,1,,STAT_AKTUELLER_ZUSTAND_NR,unsigned char,0-n,,,,,,,TAB_SME_ERMITTLUNG,"Return Determination is running, successful or ended with an error","Rückgabe Ermittlung läuft, erfolgreich oder mit Fehler beendet"
BMW i3 / i3s (I01),SME,0xAD6A,31,HEIZUNG,result,results,0,,STAT_HEIZUNG_AKTIV_NR,unsigned char,0-n,,,,,,,TAB_HVS_HEIZUNG_ZUSTAND,State of the heating,Zustand der Heizung
BMW i3 / i3s (I01),SME,0xAD6B,31,SYMMETRIERUNG,result,results,0,,STAT_SYM,unsigned char,0-n,,,,,,,TAB_SME_SYMMETRIERUNG_ERGEBNISSE,Status of the balancing,Status der Symmetrierung
BMW i3 / i3s (I01),SME,0xAD6C,31,ZELLSPANNUNG_UNPLAUSIBEL_LESEN,result,results,0,,STAT_MODULSPANNUNG_UNPLAUSIBEL_EIN,unsigned char,0/1,,,,,,,,Voltage value in module x detected as plausible / implausible (0 = no error / 1 = error),Spannungswert in Modul x als plausibel / unplausibel (0 = kein Fehler / 1 = Fehler) detektiert
BMW i3 / i3s (I01),SME,0xAD6C,31,ZELLSPANNUNG_UNPLAUSIBEL_LESEN,arg,start,0,0,NR_MODUL,unsigned char,,1.0,1.0,0.0,,,,,Enter the module number to read out the implausibility of module x,Eingabe der Modulnummer zum Auslesen der Unplausibilität des Modul x
BMW i3 / i3s (I01),SME,0xAD6D,31,MODULTEMPERATUREN_LESEN,result,results,0,,STAT_MODULTEMPERATUR_WERT,signed int,°C,1.0,100.0,0.0,,,,,currently measured module temperature of module x,aktuell gemessene Modultemperatur des Moduls x
BMW i3 / i3s (I01),SME,0xAD6D,31,MODULTEMPERATUREN_LESEN,arg,start,0,0,NR_MODUL,unsigned char,,1.0,1.0,0.0,,,,,Enter the module number to read out the corresponding module temperature,Eingabe der Modulnummer zum Auslesen der entsprechende Modultemperatur
BMW i3 / i3s (I01),SME,0xAD6E,31,ZELLSPANNUNG_LESEN,result,results,0,,STAT_ZELLSPANNUNG_WERT,unsigned int,V,1.0,1000.0,0.0,,,,,currently measured voltage value of cell x,aktuell gemessener Spannungswert der Zelle x
BMW i3 / i3s (I01),SME,0xAD6E,31,ZELLSPANNUNG_LESEN,arg,start,0,0,NR_ZELLE,unsigned char,,1.0,1.0,0.0,,,,,Cell whose voltage is to be determined,Zelle desen Spannung ermittelt werden soll
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,0,,STAT_HIS_TEMP_HVON_MOD_MIN_1_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the lowest measured cell temperature of module x with closed contactors in the class: TmodMin <= -20 ° C,Dauer der niedrigsten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: TmodMin <= -20°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,1,,STAT_HIS_TEMP_HVON_MOD_MIN_2_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the lowest measured cell temperature of module x with closed contactors in the class: -20 ° C <TmodMin <= -5 ° C,Dauer der niedrigsten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: -20°C < TmodMin <= -5°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,2,,STAT_HIS_TEMP_HVON_MOD_MIN_3_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the lowest measured cell temperature of module x with closed contactors in the class: -5 ° C <TmodMin <= 10 ° C,Dauer der niedrigsten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: -5°C < TmodMin <= 10°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,3,,STAT_HIS_TEMP_HVON_MOD_MIN_4_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the lowest measured cell temperature of module x with closed contactors in the class: 10 ° C <TmodMin <= 20 ° C,Dauer der niedrigsten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 10°C < TmodMin <= 20°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,4,,STAT_HIS_TEMP_HVON_MOD_MIN_5_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the lowest measured cell temperature of module x with closed contactors in the class: 20 ° C <TmodMin <= 30 ° C,Dauer der niedrigsten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 20°C < TmodMin <= 30°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,5,,STAT_HIS_TEMP_HVON_MOD_MIN_6_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the lowest measured cell temperature of module x with closed contactors in the class: 30 ° C <TmodMin <= 35 ° C,Dauer der niedrigsten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 30°C < TmodMin <= 35°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,6,,STAT_HIS_TEMP_HVON_MOD_MIN_7_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the lowest measured cell temperature of module x with closed contactors in the class: TmodMin> 35 ° C,Dauer der niedrigsten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse:  TmodMin > 35°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,7,,STAT_HIS_TEMP_HVON_MOD_MAX_1_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the highest measured cell temperature of module x with closed contactors in the class: TmodMax <= 35 ° C,Dauer der größten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: TmodMax <= 35°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,8,,STAT_HIS_TEMP_HVON_MOD_MAX_2_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the highest measured cell temperature of module x with closed contactors in the class: 35 ° C <TmodMax <= 40 ° C,Dauer der größten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 35°C < TmodMax <= 40°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,9,,STAT_HIS_TEMP_HVON_MOD_MAX_3_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the highest measured cell temperature of module x with closed contactors in the class: 40 ° C <TmodMax <= 50 ° C,Dauer der größten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 40°C < TmodMax <= 50°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,10,,STAT_HIS_TEMP_HVON_MOD_MAX_4_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the highest measured cell temperature of module x with closed contactors in the class: 50 ° C <TmodMax <= 60 ° C,Dauer der größten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 50°C < TmodMax <= 60°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,11,,STAT_HIS_TEMP_HVON_MOD_MAX_5_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the highest measured cell temperature of module x with closed contactors in the class: 60 ° C <TmodMax <= 70 ° C,Dauer der größten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 60°C < TmodMax <= 70°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,12,,STAT_HIS_TEMP_HVON_MOD_MAX_6_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the highest measured cell temperature of module x with closed contactors in the class: 70 ° C <TmodMax <= 80 ° C,Dauer der größten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse: 70°C < TmodMax <= 80°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,13,,STAT_HIS_TEMP_HVON_MOD_MAX_7_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the highest measured cell temperature of module x with closed contactors in the class: TmodMax> 80 ° C,Dauer der größten gemessenen Zelltemperatur des Modul x  bei geschlossen Schützen in der Klasse:  TmodMax > 80°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,14,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_1_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: TmodMean <= -20 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse:  TmodMean <= -20°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,15,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_2_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: -20 ° C <TmodMean <= -5 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: -20°C < TmodMean <= -5°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,16,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_3_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: -5 ° C <TmodMean <= 10 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: -5°C < TmodMean <= 10°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,17,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_4_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 10 ° C <TmodMean <= 20 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 10°C < TmodMean <= 20°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,18,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_5_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 20 ° C <TmodMean <= 30 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 20°C < TmodMean <= 30°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,19,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_6_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 30 ° C <TmodMean <= 35 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 30°C < TmodMean <= 35°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,20,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_7_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 35 ° C <TmodMean <= 40 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 35°C < TmodMean <= 40°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,21,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_8_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 40 ° C <TmodMean <= 50 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 40°C < TmodMean <= 50°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,22,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_9_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 50 ° C <TmodMean <= 60 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 50°C < TmodMean <= 60°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,23,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_10_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 60 ° C <TmodMean <= 70 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 60°C < TmodMean <= 70°C
BMW i3 / i3s (I01),SME,0xAD6F,31,HIS_TEMP_MOD_LESEN,result,results,24,,STAT_HIS_TEMP_NO_OP_MOD_MEAN_11_WERT,unsigned long,min,1.0,1.0,0.0,,,,,Duration of the calculated average cell temperature of module x with open contactors in the class: 70 ° C <TmodMean <= 80 ° C,Dauer der berechneten durchschnittlichen Zelltemperatur des Modul x  bei offenen Schützen in der Klasse: 70°C < TmodMean <= 80°C
