ecu,diag_addr_i3,kind,id,request,followup,sweep,names,expected_payload_len,layout_differs,vehicles,relevance,description_en
SME,0x07,did,0xD6C7,22 D6 C7,,,RB_ISO_MESS_TRG,15,,BMW i3 / i3s (I01),battery,Return of the R_iso including quality of the last 5 follow-up measurements
SME,0x07,did,0xD6C8,22 D6 C8,,,RB_ISO_MESS_STD_IO_NIO,70,,BMW i3 / i3s (I01),battery,Return of the last 10 events of the R_iso standard measurement when the error threshold is undershot / exceeded
SME,0x07,did,0xD6C9,22 D6 C9,,,RB_ISO_MESS_TRG_IO_NIO,70,,BMW i3 / i3s (I01),battery,Return of the last 10 events of the triggered follow-up ISO measurement when the error threshold is undershot / exceeded
SME,0x07,did,0xD6CA,22 D6 CA,,,ISODIAG_INPUT_ISTWERTE,15,,BMW i3 / i3s (I01),battery,Return of input signals of the R_ISO calculation formula
SME,0x07,did,0xD6CB,22 D6 CB,,,ISO_ERR_STD_FZ1_2,52,,BMW i3 / i3s (I01),battery,Return of input signals and result values of the standard ISO measurement at error time 1 and 2
SME,0x07,did,0xD6CC,22 D6 CC,,,RB_SOH_KAPATEST,51,,BMW i3 / i3s (I01),battery,Return of the results of the last 3 HVS offboard capacity tests (ring memory)
SME,0x07,did,0xD6CD,22 D6 CD,,,REKU_VOLTAGE_LIFT,6,,BMW i3 / i3s (I01),battery,Return of the duration and frequency in which the increased recuperation is made available when the HVS is almost full
SME,0x07,did,0xD6CE,22 D6 CE,,,RB_ALTERUNG_KAPA,241,,BMW i3 / i3s (I01),battery,Return of the results of the last 5 SoH_C adaptations including capacity tests (ring memory)
SME,0x07,did,0xD6CF,22 D6 CF,,,CSC_TEMPERATUREN,24,,BMW i3 / i3s (I01),battery,"Return of the current temperature measured values of all CSC sensors (max 3 * 12, without HW-RL)"
SME,0x07,did,0xD6D1,22 D6 D1,,,ISO_ERR_TRG_FZ1_2,52,,BMW i3 / i3s (I01),battery,Return of input signals and result values of the triggered follow-up ISO measurement at error time 1 and 2
SME,0x07,did,0xD6D9,22 D6 D9,,,Raw isolation resistance R_ISO_ROH,,,Gen4 PHEV (community),battery,"Raw isolation resistance R_ISO_ROH | community layout: Gen4 PHEV: 0-1 kΩ, 2 quality 0-21 (higher = better)"
SME,0x07,did,0xDAFE,22 DA FE,,,STATUS_KLEMME_15_EIN,2,,ActiveHybrid 7 (F04),battery,Returns status of the terminal(s) in the ECU: 0=OFF; 1=ON
SME,0x07,did,0xDD60,22 DD 60,,,SCHUETZ_SCHALTER,1,yes,BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04),battery,"Contactor switch status: closed, open, welded contacts or not defined. For results see table TAB_SCHUETZ_SCHALTER"
SME,0x07,did,0xDD61,22 DD 61,,,SCHUETZ_FREIGABE,1,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,Writes or reads the bit to enable or disable the contactor switch. Job is clamp-safe
SME,0x07,did,0xDD63,22 DD 63,,,SCHUETZSCHALTUNGEN_ANZAHL,8,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,Number of switchings of the contactor switch (currentless and under load)
SME,0x07,did,0xDD64,22 DD 64,,,HVIL,1,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,HVIL test result
SME,0x07,did,0xDD66,22 DD 66,,,HV_SPANNUNG,2,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"") | Gen4 PHEV (community)",battery,"Intermediate circuit voltage to the HV connection plug, depending on the contactor status | community layout: Gen4 PHEV: 0-1 u16, 0.1 V"
SME,0x07,did,0xDD67,22 DD 67,,,ANZAHL_KUEHLANFORDERUNG_DRINGEND,1,,BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,Number of consecutive wake cycles with urgent cooling requirements (service life max. Value)
SME,0x07,did,0xDD68,22 DD 68,,,HV_SPANNUNG_BERECHNET,2,,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,"Battery voltage behind the contactors, regardless of the contactor status"
SME,0x07,did,0xDD69,22 DD 69,,,HV_STROM,4,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"") | Gen4 PHEV (community)",battery,HV current in A | community layout: Gen4 PHEV: 0-3 s32 (source unsure of scale)
SME,0x07,did,0xDD6A,22 DD 6A,,,ISOLATIONSWIDERSTAND,9,yes,BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | Gen4 PHEV (community),battery,"Reading out the currently applied insulation resistance | community layout: Gen4 PHEV: 0-1 ext std kΩ, 2-3 ext trg kΩ, 4-5 int kΩ, 6-8 plausibility flags (source's field order)"
SME,0x07,did,0xDD6B,22 DD 6B,,,TEMP_SENSOREN,16,yes,ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04),battery,Cell temperature
SME,0x07,did,0xDD6C,22 DD 6C,,,KUEHLKREISLAUF_TEMP,2,,BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04),battery,Temperature of the cooling medium in ° C (327.67 = implausible)
SME,0x07,did,0xDD6D,22 DD 6D,,,KAPAZITAETSVERLUST / SOH,3,,ActiveHybrid 7 (F04),battery,HV battery capacity loss
SME,0x07,did,0xDD6F,22 DD 6F,,,KUEHLKREISLAUF_VENTIL,1,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,Status / control coolant valve: Closed or open / close or open
SME,0x07,did,0xDD70,22 DD 70,,,AUSLIEFERUNGSDATEN,6,,ActiveHybrid 7 (F04),battery,Read manufacturer data
SME,0x07,did,0xDD71,22 DD 71,,,ZELLSPANNUNG,70,,ActiveHybrid 7 (F04),battery,Cell voltages
SME,0x07,did,0xDD72,22 DD 72,,,AUFSTART_VERHINDERER,1,yes,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04),battery,Reason for not starting the HV system
SME,0x07,did,0xDD73,22 DD 73,,,CUMULATIVE_LADUNG,4,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,The accumulated charge for charges in Ah
SME,0x07,did,0xDD74,22 DD 74,,,CUMULATIVE_ENTLADUNG,4,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,The accumulated charge for discharges in Ah
SME,0x07,did,0xDD75,22 DD 75,,,SERIENNUMMER,10,,ActiveHybrid 7 (F04),battery,Write/read serial number
SME,0x07,did,0xDD76,22 DD 76,,,STATUS_KL30C_SPANNUNG,1,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,Voltage terminal 30C in V
SME,0x07,did,0xDD77,22 DD 77,,,HISTOGRAM,72,,ActiveHybrid 7 (F04),battery,Time/temperature histogram SoC 1-3
SME,0x07,did,0xDD7B,22 DD 7B,,,ALTERUNG_KAPAZITAET / REFERENZ_KAPAZITAET,1,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"") | Gen4 PHEV (community)",battery,"Readout of the battery capacity adjustment | community layout: Gen4 PHEV: byte 0, %"
SME,0x07,did,0xDD7C,22 DD 7C,,,GW_INFO,85,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"")",battery,Warranty data
SME,0x07,did,0xDD7D,22 DD 7D,,,STROMGRENZEN,4,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"") | Gen4 PHEV (community)",battery,"Current limits | community layout: Gen4 PHEV: 0-1 charge, 2-3 discharge (0.1 A)"
SME,0x07,did,0xDD7E,22 DD 7E,,,SPANNUNGSGRENZEN,4,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | ActiveHybrid 7 (F04) | BMW ActiveE (E82, ""BEV10"") | Gen4 PHEV (community)",battery,"Voltage limits | community layout: Gen4 PHEV: 0-1 max, 2-3 min (0.1 V)"
SME,0x07,did,0xDD7F,22 DD 7F,,,OCV_KENNLINIE,42,,ActiveHybrid 7 (F04),battery,SoC-dependent open-circuit voltage
SME,0x07,did,0xDD8E,22 DD 8E,,,HVB_HISTORIE_ZYKLEN,116,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Output of the current load (current histogram)
SME,0x07,did,0xDD90,22 DD 90,,,ZEIT_TEMP_HISTOGRAMM,112,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Time in different temperature classes and control unit states (SG awake, SG asleep) of the averaged calculated temperature over all cell nuclei"
SME,0x07,did,0xDD91,22 DD 91,,,ZEIT_SOC_KLASSE,48,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Returns the length of stay of the SoC in SoC classes over the service life - SE03 from 11/13 total duration (sleep + awake) - up to 11/13 only operating time (awake)
SME,0x07,did,0xDD94,22 DD 94,,,HV_BATT_HIST_SOC_T1_1 / HV_BATT_HIST_SOC_T1,160,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Duration at temperature less than 0 ° C and with different values of current and SOC - part 1
SME,0x07,did,0xDD95,22 DD 95,,,HV_BATT_HIST_SOC_T2_1 / HV_BATT_HIST_SOC_T2,160,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Duration at 0 ° C less than temperature less than 10 ° C and with different values of current and SOC - part 1
SME,0x07,did,0xDD96,22 DD 96,,,HV_BATT_HIST_SOC_T3_1 / HV_BATT_HIST_SOC_T3,160,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Duration at 10 ° C less than temperature less than 20 ° C and with different values of current and SOC - part 1
SME,0x07,did,0xDD97,22 DD 97,,,HV_BATT_HIST_SOC_T4_1 / HV_BATT_HIST_SOC_T4,160,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Duration at 20 ° C less than temperature less than 27.5 ° C and with different values of current and SOC - part 1
SME,0x07,did,0xDD98,22 DD 98,,,HV_BATT_HIST_SOC_T5_1 / HV_BATT_HIST_SOC_T5,160,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Duration at 27.5 ° C less than temperature less than 32.5 ° C and with different values of current and SOC - part 1
SME,0x07,did,0xDD99,22 DD 99,,,HV_BATT_HIST_SOC_T6_1 / HV_BATT_HIST_SOC_T6,160,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Duration at 32.5 ° C less than temperature less than 40 ° C and with different values of current and SOC - part 1
SME,0x07,did,0xDD9A,22 DD 9A,,,HV_BATT_HIST_SOC_T7_1 / HV_BATT_HIST_SOC_T7,160,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Duration at 40 ° C less than temperature and with different values of current and SOC - part 1
SME,0x07,did,0xDD9B,22 DD 9B,,,ZELLSPANNUNG_MODUL_9,24,,"BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 9"
SME,0x07,did,0xDD9C,22 DD 9C,,,ZELLSPANNUNG_MODUL_10,24,,"BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 10"
SME,0x07,did,0xDD9D,22 DD 9D,,,ZELLSPANNUNG_MODUL_11,24,,"BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 11"
SME,0x07,did,0xDD9E,22 DD 9E,,,ZELLSPANNUNG_MODUL_12,24,,"BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 12"
SME,0x07,did,0xDD9F,22 DD 9F,,,FAHRGESTELLNUMMER,7,,"BMW ActiveE (E82, ""BEV10"")",battery,Current chassis number (VIN) of the vehicle in which the HV battery (storage) is installed
SME,0x07,did,0xDDA1,22 DD A1,,,KUEHLMITTELPUMPE,1,,"BMW 530Le (F18) | BMW ActiveE (E82, ""BEV10"")",battery,Result values or control of the coolant pump for cooling the HV battery in % (0-100%)
SME,0x07,did,0xDDA2,22 DD A2,,,TEMP_SENSOREN_BEV10,104,,"BMW ActiveE (E82, ""BEV10"")",battery,Return the temperature values of all CSCs
SME,0x07,did,0xDDA3,22 DD A3,,,ZELLSPANNUNG_MODUL_13,24,,"BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 13"
SME,0x07,did,0xDDA5,22 DD A5,,,FREIGABE_KUEHLMITTELPUMPE,1,,"BMW ActiveE (E82, ""BEV10"")",battery,"Enable or read out status of the coolant pump (0 = not enabled, 1 = enabled)"
SME,0x07,did,0xDDA6,22 DD A6,,,SCHUETZ_SCHALTER_BEV10,3,,"BMW ActiveE (E82, ""BEV10"")",battery,"Status of the three contactor switches for the 3 HV batteries: transmission tunnel, front section, tank"
SME,0x07,did,0xDDA7,22 DD A7,,,ISOLATIONSWIDERSTAND_BEV10,18,,"BMW ActiveE (E82, ""BEV10"")",battery,Value of all insulation resistances (all HV batteries)
SME,0x07,did,0xDDA8,22 DD A8,,,CSC_IDS_BEV10,104,,"BMW ActiveE (E82, ""BEV10"")",battery,HW numbers of all CSCs (Cell Supervisory Circuit) of the BEV2010
SME,0x07,did,0xDDA9,22 DD A9,,,KUEHLKREISLAUF_TEMP_BEV10,6,,"BMW ActiveE (E82, ""BEV10"")",battery,Coolant circuit temperature BEV2010
SME,0x07,did,0xDDAA,22 DD AA,,,HV_SPANNUNG_BATT_BEV10,28,,"BMW ActiveE (E82, ""BEV10"")",battery,Values for HV voltages for the BEV2010
SME,0x07,did,0xDDAB,22 DD AB,,,LADEZIELSPANNUNG_TAUSCH,2,,BMW i3 / i3s (I01),battery,Output of the charging target voltage for module replacement before installing the module in the vehicle
SME,0x07,did,0xDDAD,22 DD AD,,,VARIANTE_CSCS_BEV10,13,,"BMW ActiveE (E82, ""BEV10"")",battery,Return the CSC variant of all modules
SME,0x07,did,0xDDAE,22 DD AE,,,ZELLSPANNUNG_MODUL_4,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 4"
SME,0x07,did,0xDDAF,22 DD AF,,,ZELLSPANNUNG_MODUL_5,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 5"
SME,0x07,did,0xDDB0,22 DD B0,,,ZELLSPANNUNG_MODUL_6,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 6"
SME,0x07,did,0xDDB1,22 DD B1,,,ZELLSPANNUNG_MODUL_7,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 7"
SME,0x07,did,0xDDB2,22 DD B2,,,ZELLSPANNUNG_MODUL_8,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 8"
SME,0x07,did,0xDDB3,22 DD B3,,,LADUNGSMENGE_HV_BOOST_RECUP,8,,ActiveHybrid 3/5/7 (F30/F10/F01),battery,Status of charge quantity drawn or supplied
SME,0x07,did,0xDDB4,22 DD B4,,,HV_SPANNUNG_BATTERIE,2,,BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | Gen4 PHEV (community),battery,"Battery voltage behind the contactors, regardless of the contactor status | community layout: Gen4 PHEV: 0-1 u16, 0.1 V"
SME,0x07,did,0xDDB6,22 DD B6,,,ALTERUNG_INNENWIDERSTAND,2,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Aging of the internal resistance in percent: Internal resistance of the storage tank when new is related to the current value of the internal resistance (R_neu / R_akt) * 100 (100% = new condition, decreases with aging)"
SME,0x07,did,0xDDB7,22 DD B7,,,REFERENZ_KAPAZITAET / ALTERUNG_KAPAZITAET,1,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Remaining capacity of the memory, percentage value: (C_akt / C_nenn (new)) * 100, 100 = new state. Raw estimate of the onboard capacity estimate of total storage"
SME,0x07,did,0xDDB9,22 DD B9,,,ZELLSPANNUNG_MODUL_1,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages in V, module 1"
SME,0x07,did,0xDDBA,22 DD BA,,,ZELLSPANNUNG_MODUL_2,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages, module 2"
SME,0x07,did,0xDDBB,22 DD BB,,,ZELLSPANNUNG_MODUL_3,24,,"ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Currently measured cell voltages in V, module 3"
SME,0x07,did,0xDDBC,22 DD BC,,,ANZEIGE_SOC,6,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,current advertisement Soc
SME,0x07,did,0xDDBD,22 DD BD,,,SERVICE_DISCONNECT,1,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Status Service Disconnect (0 = open, 1 = closed)"
SME,0x07,did,0xDDBE,22 DD BE,,,VORLADUNG,20,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,"Info about time, current and temperatures during pre-charging"
SME,0x07,did,0xDDBF,22 DD BF,,,ZELLSPANNUNGEN_MIN_MAX,4,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,minimum and maximum single cell voltages are output
SME,0x07,did,0xDDC0,22 DD C0,,,TEMPERATUREN / TEMPSENSOREN_MIN_MAX,6,yes,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"") | Gen5 (iX, i4, i5, i7 platform) (community) | Gen4 PHEV (community)",battery,"Output of the calculated cell core temperatures (minimum, maximum and average) | community layout: Gen5 (iX, i4, i5, i7 platform): 0-1 min, 2-3 max, 4-5 avg (s16, 0.1 °C); Gen4 PHEV: see i3 SME 0xDDC0"
SME,0x07,did,0xDDC1,22 DD C1,,,CSC_IDS,64,,ActiveHybrid 3/5/7 (F30/F10/F01),battery,Hardware IDs of the individual CSCs (Cell Supervisory Circuit)
SME,0x07,did,0xDDC2,22 DD C2,,,ALTERUNG_PARAMETER,6,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Correction factor of the serial and parallel ohmic resistance as well as the parallel capacitance (1.5 = increase in resistance by 50%)
SME,0x07,did,0xDDC4,22 DD C4,,,SOC,3,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"") | Gen4 PHEV (community)",battery,Read out SOC value (in%) and plausibility or specification of the SOC value (0-100%) | community layout: Gen4 PHEV: 0-1 u16
SME,0x07,did,0xDDC5,22 DD C5,,,MODULSPANNUNG_UNPLAUSIBEL,8,,ActiveHybrid 3/5/7 (F30/F10/F01),battery,"Returns the module number of the CSCs in which an implausible voltage value was detected (linked to DTC). Return value is a component vector (length 8) with assignment 0 = no fault, 1 = fault detected."
SME,0x07,did,0xDDC6,22 DD C6,,,HISTO_SYM_DAUER,34,yes,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Reading out the number of balancing processes in the respective time classes (actual time in which the balancing resistors were active)
SME,0x07,did,0xDDC7,22 DD C7,,,HISTO_SYM_ZELLANZAHL,16,yes,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,Frequency over the lifetime of the number of cells that were instructed for balancing. Increment if symmetry is required when falling asleep after FIRST cyclical waking up.
SME,0x07,did,0xDDC8,22 DD C8,,,SYM_DELTASOC,10,,"BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Maximum SoC difference in% over the entire HVS. Ring memory of the last 5 trips
SME,0x07,did,0xDDC9,22 DD C9,,,MAX_SYM_DAUER,45,,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,Maximum symmetry duration of the last symmetrization process
SME,0x07,did,0xDDCA,22 DD CA,,,SERIENNUMMER_ECU,10,,"BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01) | BMW ActiveE (E82, ""BEV10"")",battery,Serial number of the SME control unit
SME,0x07,did,0xDDCB,22 DD CB,,,SOC_GRENZEN,4,,BMW i3 / i3s (I01) | BMW 530Le (F18) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,Reading and changing the SOC limits
SME,0x07,did,0xDDCC,22 DD CC,,,SCHUETZ_RESTZAEHLER,12,,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,"Read out or reset (0 = no reset; 1 = reset) of the counter for the possible switching of contactors K1, K2, K3"
SME,0x07,did,0xDDCF,22 DD CF,,,DIFFERENZ_SPANNUNGEN,2,yes,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,Differential voltage: total voltage HV battery - total cell voltage (static determination)
